Post Type,Total Reach,Organic Reach,Total Impressions,Engaged Users,Interactions,Reactions,Comments,Shares,Link Clicks,Other Clicks,Photo Views,Video Plays,Negative Feedback,Video Length,Organic Views,Paid Views,Organic 10-Sec Views,Paid 10-Sec Views,Organic Views to 95%,Paid Views to 95%,Reach (Fans),Paid Reach (Fans),Engaged Users (Fans),Reach (Non-Fans),Engaged Users (Non-Fans),Channel,Organic / Paid
Video,2667152,2730046,3521338,116607,10430,8626,1264,540,80,113488,71,48961,174,103763,611367,0,467649,0,41700,0,2604685,0,105817,62467,10790,Facebook,Organic
Photo,1793159,1810315,2491524,131569,4999,4389,554,56,NA,49430,118150,1,215,0,0,0,0,0,0,0,1776075,0,129185,17084,2384,Facebook,Organic
Video,2487603,2563641,3192138,125993,11263,9231,1494,538,77,116851,25,56721,145,95486,702163,0,453474,0,42623,0,2399541,0,111299,88062,14694,Facebook,Organic
Video,3202139,3325395,4040924,135162,12718,10159,1884,675,114,121701,29,59716,213,87806,740302,0,469904,0,41853,0,3046276,0,116923,155863,18239,Facebook,Organic
Video,1249887,1286023,1577856,80687,6523,5678,611,234,NA,84951,11,24606,94,35305,426070,0,217305,0,36068,0,1208534,0,77579,41353,3108,Facebook,Organic
Video,2904323,3019099,3776338,127526,12930,10732,1548,650,38,111918,28,50798,212,95081,730216,0,453444,0,53560,0,2755323,0,114202,149e3,13324,Facebook,Organic
Video,3742725,3922338,5024778,209731,20434,16970,2514,950,9,180693,22,94688,243,97086,986109,0,714530,0,63655,0,3488448,0,175133,254277,34598,Facebook,Organic
Video,3776575,3934510,5052713,193111,21134,17624,2489,1021,216,185185,10,86514,221,101033,1051558,0,699814,0,72251,0,3610212,0,168340,166363,24771,Facebook,Organic
Video,4405440,6787811,5557213,217589,20945,17288,3014,643,11279,230996,1946,68429,158,75134,768956,0,533236,0,75395,0,2475527,0,151687,1929913,65902,Facebook,Organic
Video,2613345,2703942,3373368,139145,14243,12220,1356,667,78,130236,3,58386,175,105534,701878,0,460270,0,51157,0,2485369,0,122871,127976,16274,Facebook,Organic
Video,2819700,2881525,4583196,129174,15134,12418,2061,655,109,124008,4,55836,203,106323,647337,0,421067,0,44894,0,2680305,0,113426,139395,15748,Facebook,Organic
Video,4929819,5884054,8117824,254563,30787,25875,3502,1410,140,229916,23,101999,252,122281,1166757,0,791298,0,116082,0,4012208,0,199267,917611,55296,Facebook,Organic
Photo,868457,870169,1327181,17357,2413,2084,308,21,1138,12626,7141,NA,103,0,0,0,0,0,0,0,865064,0,16751,3393,606,Facebook,Organic
Video,2544136,2487079,3902345,74018,3848,3424,320,104,19,74993,11,17219,158,125459,576870,0,350838,0,22196,0,2036644,0,62102,507492,11916,Facebook,Organic
SharedVideo,5367524,5305986,8943682,159860,5944,5513,431,NA,43,193312,11,24,383,10301167,791414,0,0,0,0,0,5330561,0,157841,36963,2019,Facebook,Organic
SharedVideo,6503468,6558389,10765344,285099,9038,8367,671,NA,46,338797,7,36,396,13369900,1046895,0,0,0,0,0,6444460,0,281817,59008,3282,Facebook,Organic
SharedVideo,4578431,4645951,7227378,114157,4651,4418,233,NA,44,139287,5,16,300,14363867,591356,0,0,0,0,0,4548168,0,112958,30263,1199,Facebook,Organic
SharedVideo,4849722,4874560,7782185,125985,4903,4656,247,NA,32,146108,7,38,323,10687834,720019,0,0,0,0,0,4830335,0,123527,19387,2458,Facebook,Organic
SharedVideo,4861579,4825471,7670201,133754,4633,4464,169,NA,47,155023,5,28,296,13849867,743484,0,0,0,0,0,4839259,0,131672,22320,2082,Facebook,Organic
SharedVideo,4651739,4648257,7299571,120638,4984,4738,246,NA,41,140865,3,32,306,14211e3,640080,0,0,0,0,0,4626759,0,118791,24980,1847,Facebook,Organic
SharedVideo,5559462,5496806,9005670,180343,6582,6112,470,NA,44,216495,12,40,364,10185867,798228,0,0,0,0,0,5523049,0,178385,36413,1958,Facebook,Organic
SharedVideo,5197484,5193695,8444991,145989,6230,5825,405,NA,73,177954,3,27,322,14406867,792767,0,0,0,0,0,5166621,0,144225,30863,1764,Facebook,Organic
Video,923336,923015,1358617,20238,1759,1486,229,44,2,17156,16,8106,88,91689,192250,0,47225,0,5176,0,884624,0,18721,38712,1517,Facebook,Organic
Photo,770376,775709,1167099,7417,1908,1664,203,41,469,4530,2698,NA,83,0,0,0,0,0,0,0,763137,0,6588,7239,829,Facebook,Organic
Video,4361589,4367561,7397435,248022,35018,27303,6281,1434,189,239795,6,99760,272,95742,1058368,0,688870,0,83377,0,3924603,0,212762,436986,35260,Facebook,Organic
Video,4668960,4620092,7630060,423800,45568,34910,7213,3445,62,427233,16,144016,331,123987,1326085,0,831834,0,180656,0,4012086,0,360284,656874,63516,Facebook,Organic
Video,5366474,5414692,8963189,275741,31095,25648,3952,1495,220,258460,7,107626,313,122643,1271056,0,872290,0,107208,0,4519761,0,232844,846713,42897,Facebook,Organic
Video,635063,635697,983464,12553,1951,1824,86,41,419,9714,2,4815,57,21332,96093,0,35125,0,16626,0,624705,0,11238,10358,1315,Facebook,Organic
Photo,1564231,1569394,2356201,55057,8684,6863,1693,128,26010,33027,14719,NA,157,0,0,0,0,0,0,0,1547521,0,51356,16710,3701,Facebook,Organic
Video,4840796,4832068,8192571,234463,33690,27442,4866,1382,251,227354,12,87241,319,88809,1296597,0,909513,0,394840,0,4330510,0,207517,510286,26946,Facebook,Organic
Video,5148257,5100482,8637728,235146,41420,34801,4785,1834,194,226745,9,70521,277,97555,1358482,0,892571,0,279575,0,4585808,0,207551,562449,27595,Facebook,Organic
Video,3051221,3046955,4921750,139307,29516,23202,5519,795,3694,133899,20,41253,157,36030,558767,0,326368,0,37850,0,2864520,0,128813,186701,10494,Facebook,Organic
